"filename", "language", "Markdown", "YAML", "Dart", "C++", "Groovy", "Properties", "XML", "Swift", "JSON", "comment", "blank", "total"
"d:\flutter\stackr\lib\widgets\card_feature.dart", "Dart", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 6, 96
"d:\flutter\stackr\lib\widgets\card_flip.dart", "Dart", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 10, 53
"d:\flutter\stackr\lib\widgets\card_stack.dart", "Dart", 0, 0, 155, 0, 0, 0, 0, 0, 0, 2, 20, 177
"d:\flutter\stackr\lib\widgets\card_stats.dart", "Dart", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 3, 33
"d:\flutter\stackr\lib\widgets\card_study.dart", "Dart", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 7, 72
"d:\flutter\stackr\lib\widgets\card_swipe.dart", "Dart", 0, 0, 196, 0, 0, 0, 0, 0, 0, 0, 51, 247
"d:\flutter\stackr\lib\widgets\dialog_confirm.dart", "Dart", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 6, 66
"d:\flutter\stackr\lib\widgets\graph_stats.dart", "Dart", 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 17, 116
"d:\flutter\stackr\lib\widgets\gridview_home.dart", "Dart", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 10, 60
"d:\flutter\stackr\lib\widgets\pageview_feature.dart", "Dart", 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 20, 145
"d:\flutter\stackr\lib\widgets\progress_circular.dart", "Dart", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 6, 85
"d:\flutter\stackr\lib\widgets\searchbar.dart", "Dart", 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 26, 170
"d:\flutter\stackr\lib\widgets\slidable.dart", "Dart", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 9, 83
"d:\flutter\stackr\lib\widgets\sliver_header.dart", "Dart", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 7, 31
"d:\flutter\stackr\lib\widgets\tile_simple.dart", "Dart", 0, 0, 124, 0, 0, 0, 0, 0, 0, 2, 16, 142
"d:\flutter\stackr\pubspec.yaml", "YAML", 0, 48, 0, 0, 0, 0, 0, 0, 0, 36, 17, 101
"d:\flutter\stackr\test\widget_test.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 7, 31
"Total", "-", 13, 48, 4838, 1, 84, 9, 113, 12, 145, 174, 967, 6404
